3,17-Apr-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,24-Apr-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,1-May-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,8-May-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,15-May-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,22-May-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,29-May-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
3,5-Jun-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
4,11-Dec-93,All For Love,bryan adams,rod stewart,sting,,
4,18-Dec-93,All For Love,bryan adams,rod stewart,sting,,
4,25-Dec-93,All For Love,bryan adams,rod stewart,sting,,
4,1-Jan-94,All For Love,bryan adams,rod stewart,sting,,
