date,rank,title,artist,collab
6/16/90,5,Vogue,Madonna,
6/16/90,6,All I Wanna Do Is Make Love To You,Heart,
6/16/90,7,Alright,Janet Jackson,
6/16/90,8,U Can t Touch This,M.C. Hammer,
6/16/90,9,Ready Or Not,After 7,
6/16/90,10,Do You Remember?,Phil Collins,
6/23/90,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
6/23/90,2,Step By Step,New Kids On The Block,
6/23/90,3,Poison,Bell Biv Devoe,
6/23/90,4,Hold On,Wilson Phillips,
6/23/90,5,Do You Remember?,Phil Collins,
6/23/90,6,Vogue,Madonna,
6/23/90,7,Ready Or Not,After 7,
6/23/90,8,Hold On,En Vogue,
6/23/90,9,U Can t Touch This,M.C. Hammer,
6/23/90,10,I ll Be Your Shelter,Taylor Dayne,
6/30/90,1,Step By Step,New Kids On The Block,
6/30/90,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
6/30/90,3,Poison,Bell Biv Devoe,
6/30/90,4,Do You Remember?,Phil Collins,
6/30/90,5,Hold On,Wilson Phillips,
6/30/90,6,Hold On,En Vogue,
6/30/90,7,Ready Or Not,After 7,
6/30/90,8,I ll Be Your Shelter,Taylor Dayne,
6/30/90,9,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
6/30/90,10,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
7/7/90,1,Step By Step,New Kids On The Block,
7/7/90,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
7/7/90,3,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
7/7/90,4,Poison,Bell Biv Devoe,
7/7/90,5,Hold On,En Vogue,
7/7/90,6,Do You Remember?,Phil Collins,
7/7/90,7,I ll Be Your Shelter,Taylor Dayne,
7/7/90,8,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
7/7/90,9,Hold On,Wilson Phillips,
7/7/90,10,Rub You The Right Way,Johnny Gill,
7/14/90,1,Step By Step,New Kids On The Block,
7/14/90,2,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
7/14/90,3,Hold On,En Vogue,
7/14/90,4,I ll Be Your Shelter,Taylor Dayne,
7/14/90,5,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
7/14/90,6,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
7/14/90,7,Rub You The Right Way,Johnny Gill,
7/14/90,8,Enjoy The Silence,Depeche Mode,
7/14/90,9,The Power,Snap,
7/14/90,10,Poison,Bell Biv Devoe,
7/21/90,1,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
7/21/90,2,Hold On,En Vogue,
7/21/90,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
7/21/90,4,Rub You The Right Way,Johnny Gill,
7/21/90,5,Vision Of Love,Mariah Carey,
7/21/90,6,Step By Step,New Kids On The Block,
7/21/90,7,The Power,Snap,
7/21/90,8,Girls Nite Out,Tyler Collins,
7/21/90,9,Enjoy The Silence,Depeche Mode,
7/21/90,10,When I m Back On My Feet Again,Michael Bolton,
7/28/90,1,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
7/28/90,2,Vision Of Love,Mariah Carey,
7/28/90,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
7/28/90,4,Rub You The Right Way,Johnny Gill,
7/28/90,5,Hold On,En Vogue,
7/28/90,6,The Power,Snap,
7/28/90,7,Girls Nite Out,Tyler Collins,
7/28/90,8,When I m Back On My Feet Again,Michael Bolton,
7/28/90,9,Enjoy The Silence,Depeche Mode,
7/28/90,10,Hanky Panky,Madonna,
8/4/90,1,Vision Of Love,Mariah Carey,
8/4/90,2,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
8/4/90,3,Rub You The Right Way,Johnny Gill,
8/4/90,4,The Power,Snap,
8/4/90,5,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
8/4/90,6,Girls Nite Out,Tyler Collins,
8/4/90,7,When I m Back On My Feet Again,Michael Bolton,
8/4/90,8,If Wishes Came True,Sweet Sensation,
8/4/90,9,Hold On,En Vogue,
8/4/90,10,Unskinny Bop,Poison,
8/11/90,1,Vision Of Love,Mariah Carey,
8/11/90,2,The Power,Snap,
8/11/90,3,Rub You The Right Way,Johnny Gill,
8/11/90,4,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
8/11/90,5,If Wishes Came True,Sweet Sensation,
8/11/90,6,Come Back To Me,Janet Jackson,
8/11/90,7,Unskinny Bop,Poison,
8/11/90,8,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,
8/11/90,9,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,
8/11/90,10,Do Me!,Bell Biv Devoe,
