4,33797,How Do U Want It/California Love,2pac,kc,jojo
4,33804,How Do U Want It/California Love,2pac,kc,jojo
4,33811,How Do U Want It/California Love,2pac,kc,jojo
4,33818,How Do U Want It/California Love,2pac,kc,jojo
4,33825,How Do U Want It/California Love,2pac,kc,jojo
4,33832,How Do U Want It/California Love,2pac,kc,jojo
4,33839,How Do U Want It/California Love,2pac,kc,jojo
4,33881,How Do U Want It/California Love,2pac,kc,jojo
3,33895,No Diggity,blackstreet,dr. dre
3,33902,No Diggity,blackstreet,dr. dre
6,33902,This Is For The Lover In You,babyface,ll cool j,howard hewett,jody watley,jef
3,33909,No Diggity,blackstreet,dr. dre
6,33909,This Is For The Lover In You,babyface,ll cool j,howard hewett,jody watley,jef
3,33916,No Diggity,blackstreet,dr. dre
6,33916,This Is For The Lover In You,babyface,ll cool j,howard hewett,jody watley,jef
3,33916,Nobody,keith sweat,athena cage
3,33923,No Diggity,blackstreet,dr. dre
3,33923,Nobody,keith sweat,athena cage
6,33923,This Is For The Lover In You,babyface,ll cool j,howard hewett,jody watley,jef
3,33930,No Diggity,blackstreet,dr. dre
3,33930,Nobody,keith sweat,athena cage
6,33930,This Is For The Lover In You,babyface,ll cool j,howard hewett,jody watley,jef
3,33937,No Diggity,blackstreet,dr. dre
3,33937,Nobody,keith sweat,athena cage
3,33944,No Diggity,blackstreet,dr. dre
3,33944,Nobody,keith sweat,athena cage
3,33944,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",barbra streisand,bryan adams
3,33951,No Diggity,blackstreet,dr. dre
3,33951,Nobody,keith sweat,athena cage
3,33951,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",barbra streisand,bryan adams
3,33958,No Diggity,blackstreet,dr. dre
3,33958,Nobody,keith sweat,athena cage
3,33958,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",barbra streisand,bryan adams
3,33965,No Diggity,blackstreet,dr. dre
3,33965,Nobody,keith sweat,athena cage
3,33965,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",barbra streisand,bryan adams
3,33972,No Diggity,blackstreet,dr. dre
3,33972,Nobody,keith sweat,athena cage
3,33979,Nobody,keith sweat,athena cage
3,33979,No Diggity,blackstreet,dr. dre
3,33986,Nobody,keith sweat,athena cage
3,33986,No Diggity,blackstreet,dr. dre
3,33993,Nobody,keith sweat,athena cage
3,33993,No Diggity,blackstreet,dr. dre
3,34000,Nobody,keith sweat,athena cage
3,34000,No Diggity,blackstreet,dr. dre
3,34007,Nobody,keith sweat,athena cage
3,34007,Can t Nobody Hold Me Down,puff daddy,mase
3,34007,No Diggity,blackstreet,dr. dre
3,34014,Can t Nobody Hold Me Down,puff daddy,mase
3,34014,Nobody,keith sweat,athena cage
3,34014,No Diggity,blackstreet,dr. dre
3,34021,Can t Nobody Hold Me Down,puff daddy,mase
3,34021,Nobody,keith sweat,athena cage
3,34028,Can't Nobody Hold Me Down,puff daddy,mase
3,34028,Nobody,keith sweat,athena cage
3,34035,Can't Nobody Hold Me Down,puff daddy,mase
3,34035,Nobody,keith sweat,athena cage
3,34042,Can't Nobody Hold Me Down,puff daddy,mase
3,34049,Can't Nobody Hold Me Down,puff daddy,mase
3,34056,Can't Nobody Hold Me Down,puff daddy,mase
3,34056,I'll Be,foxy brown,jay-z
3,34063,Can't Nobody Hold Me Down,puff daddy,mase
3,34063,I'll Be,foxy brown,jay-z
3,34070,Can't Nobody Hold Me Down,puff daddy,mase
3,34070,I'll Be,foxy brown,jay-z
3,34077,Can't Nobody Hold Me Down,puff daddy,mase
3,34077,I'll Be,foxy brown,jay-z
3,34084,Can't Nobody Hold Me Down,puff daddy,mase
3,34084,Hard To Say I'm Sorry,az yet,peter cetera
3,34091,Can't Nobody Hold Me Down,puff daddy,mase
3,34091,Hard To Say I'm Sorry,az yet,peter cetera
3,34091,My Baby Daddy,b-rock,the bizz
3,34098,Can't Nobody Hold Me Down,puff daddy,mase
3,34098,Hard To Say I'm Sorry,az yet,peter cetera
3,34105,Can't Nobody Hold Me Down,puff daddy,mase
3,34105,Hard To Say I'm Sorry,az yet,peter cetera
3,34112,Can't Nobody Hold Me Down,puff daddy,mase
3,34126,It's Your Love,tim mcgraw,faith hill
3,34126,Hard To Say I'm Sorry,az yet,peter cetera
4,34133,I'll Be Missing You,puff daddy,faith evans,112
3,34133,It's Your Love,tim mcgraw,faith hill
4,34140,I'll Be Missing You,puff daddy,faith evans,112
3,34140,It's Your Love,tim mcgraw,faith hill
3,34147,It s Your Love,tim mcgraw,faith hill
3,34154,It s Your Love,tim mcgraw,faith hill
3,34168,It s Your Love,tim mcgraw,faith hill
3,34182,Mo Money Mo Problems,the notorious b.i.g.,puff daddy
3,34189,Mo Money Mo Problems,the notorious b.i.g.,puff daddy
5,34189,Not Tonight,lil  kim,da brat,left eye,missy elliott
4,34196,I'll Be Missing You,puff daddy,faith evans,112
4,34196,Mo Money Mo Problems,the notorious b.i.g.,puff daddy,mase
